Random,TITLE,DATE,ORDER,SONG,ARTIST,ARTIST - SONG,ALT TITLE,CLASS - GRADE
0.04374922791,Ad Hoc Rock,2022-04-04,27,Nervous Breakdown,Black Flag,Black Flag - Nervous Breakdown,AMP | 2022-04-04 | Ad Hoc Rock,
0.5770200844,Ad Hoc Rock,2022-04-04,17,Burning House of Love,X,X - Burning House of Love,AMP | 2022-04-04 | Ad Hoc Rock,
0.5251158824,Ad Hoc Rock,2022-04-04,31,Just Another Day,Oingo Boingo,Oingo Boingo - Just Another Day,AMP | 2022-04-04 | Ad Hoc Rock,
0.6359601867,Ad Hoc Rock,2022-04-04,34,Dead Souls,Nine Inch Nails,Nine Inch Nails - Dead Souls,AMP | 2022-04-04 | Ad Hoc Rock,
0.4440612458,Ad Hoc Rock,2022-04-04,30,Go With the Flow,Queens of the Stone Age,Queens of the Stone Age - Go With the Flow,AMP | 2022-04-04 | Ad Hoc Rock,
0.2900575754,Ad Hoc Rock,2022-04-04,11,Institutionalized,Suicidal Tendencies,Suicidal Tendencies - Institutionalized,AMP | 2022-04-04 | Ad Hoc Rock,
0.101299394,Ad Hoc Rock,2022-04-04,19,Only,Nine Inch Nails,Nine Inch Nails - Only,AMP | 2022-04-04 | Ad Hoc Rock,
0.0760827154,Ad Hoc Rock,2022-04-04,16,My Own Worst Enemy,Lit,Lit - My Own Worst Enemy,AMP | 2022-04-04 | Ad Hoc Rock,
0.4362716778,Ad Hoc Rock,2022-04-04,20,Living Dead Girl,Rob Zombie,Rob Zombie - Living Dead Girl,AMP | 2022-04-04 | Ad Hoc Rock,
0.7012301576,Ad Hoc Rock,2022-04-04,8,Alien,Pennywise,Pennywise - Alien,AMP | 2022-04-04 | Ad Hoc Rock,
0.04565919764,Ad Hoc Rock,2022-04-04,5,Pretty Fly,The Offspring,The Offspring - Pretty Fly,AMP | 2022-04-04 | Ad Hoc Rock,
0.4317337404,Ad Hoc Rock,2022-04-04,3,I Was Wrong,Social Distortion,Social Distortion - I Was Wrong,AMP | 2022-04-04 | Ad Hoc Rock,
0.3797007222,Ad Hoc Rock,2022-04-04,10,Ring of Fire,Social Distortion,Social Distortion - Ring of Fire,AMP | 2022-04-04 | Ad Hoc Rock,
0.6764078217,Ad Hoc Rock,2022-04-04,26,Alone Again Or,The Damned,The Damned - Alone Again Or,AMP | 2022-04-04 | Ad Hoc Rock,
0.5107881529,Ad Hoc Rock,2022-04-04,32,Holiday,Green Day,Green Day - Holiday,AMP | 2022-04-04 | Ad Hoc Rock,
0.5339560589,Ad Hoc Rock,2022-04-04,22,London Calling,The Clash,The Clash - London Calling,AMP | 2022-04-04 | Ad Hoc Rock,
0.9356799207,Ad Hoc Rock,2022-04-04,1,You’re Gonna Go Far Kid,The Offspring,The Offspring - You’re Gonna Go Far Kid,AMP | 2022-04-04 | Ad Hoc Rock,
0.2756509469,Ad Hoc Rock,2022-04-04,7,These Days,Alien Ant Farm,Alien Ant Farm - These Days,AMP | 2022-04-04 | Ad Hoc Rock,
0.2350115261,Ad Hoc Rock,2022-04-04,33,Adam’s Song,Blink 182,Blink 182 - Adam’s Song,AMP | 2022-04-04 | Ad Hoc Rock,
0.3684756915,Ad Hoc Rock,2022-04-04,18,Midlife Crisis,Faith No More,Faith No More - Midlife Crisis,AMP | 2022-04-04 | Ad Hoc Rock,
0.6585064713,Ad Hoc Rock,2022-04-04,12,NWO,Ministry,Ministry - NWO,AMP | 2022-04-04 | Ad Hoc Rock,
0.8340091504,Ad Hoc Rock,2022-04-04,29,Diamond Eyes,Deftones,Deftones - Diamond Eyes,AMP | 2022-04-04 | Ad Hoc Rock,
0.5589400291,Ad Hoc Rock,2022-04-04,13,Movies,Alient Ant Farm,Alient Ant Farm - Movies,AMP | 2022-04-04 | Ad Hoc Rock,
0.3768267714,Ad Hoc Rock,2022-04-04,4,Passenger,Deftones,Deftones - Passenger,AMP | 2022-04-04 | Ad Hoc Rock,
0.1806444627,Ad Hoc Rock,2022-04-04,23,EMI,Sex Pistols,Sex Pistols - EMI,AMP | 2022-04-04 | Ad Hoc Rock,
0.7102136976,Ad Hoc Rock,2022-04-04,21,Kool Thing,Sonic Youth,Sonic Youth - Kool Thing,AMP | 2022-04-04 | Ad Hoc Rock,
0.3779596185,Ad Hoc Rock,2022-04-04,24,Candy,Iggy Pop,Iggy Pop - Candy,AMP | 2022-04-04 | Ad Hoc Rock,
0.02938892693,Ad Hoc Rock,2022-04-04,6,My Way,Limp Bizkit,Limp Bizkit - My Way,AMP | 2022-04-04 | Ad Hoc Rock,
0.04493778009,Ad Hoc Rock,2022-04-04,35,Freedom,Rage Against The Machine,Rage Against The Machine - Freedom,AMP | 2022-04-04 | Ad Hoc Rock,
0.3217018373,Ad Hoc Rock,2022-04-04,14,Duality,Slipknot,Slipknot - Duality,AMP | 2022-04-04 | Ad Hoc Rock,
0.1698490222,Ad Hoc Rock,2022-04-04,15,You Can’t Bring Me Down,Suicidal Tendencies,Suicidal Tendencies - You Can’t Bring Me Down,AMP | 2022-04-04 | Ad Hoc Rock,
0.6134830187,Ad Hoc Rock,2022-04-04,28,Sunday Bloody Sunday,U2,U2 - Sunday Bloody Sunday,AMP | 2022-04-04 | Ad Hoc Rock,
0.667263803,Ad Hoc Rock,2022-04-04,9,Self Esteem,The Offspring,The Offspring - Self Esteem,AMP | 2022-04-04 | Ad Hoc Rock,
0.8041386726,Ad Hoc Rock,2022-04-04,25,Dirty Blvd,Lou Reed,Lou Reed - Dirty Blvd,AMP | 2022-04-04 | Ad Hoc Rock,
0.3080045511,Ad Hoc Rock,2022-04-04,2,In Too Deep,Sum 41,Sum 41 - In Too Deep,AMP | 2022-04-04 | Ad Hoc Rock,
0.1650225467,Long Rock,2022-04-07,5,Three Days,Janes Addiction,Janes Addiction - Three Days,AMP | 2022-04-07 | Long Rock,
0.8749707675,Long Rock,2022-04-07,7,Am I Ever Gonna Change,Extreme,Extreme - Am I Ever Gonna Change,AMP | 2022-04-07 | Long Rock,
0.1345782821,Long Rock,2022-04-07,2,Can’t You Hear Me Knockin,Rolling Stones,Rolling Stones - Can’t You Hear Me Knockin,AMP | 2022-04-07 | Long Rock,
0.9732910488,Long Rock,2022-04-07,13,Midnight Moonlight,The Firm,The Firm - Midnight Moonlight,AMP | 2022-04-07 | Long Rock,
0.7388195556,Long Rock,2022-04-07,9,Carouselambra,Led Zeppelin,Led Zeppelin - Carouselambra,AMP | 2022-04-07 | Long Rock,
0.9596060757,Long Rock,2022-04-07,4,Gonna Raise Hell,Cheap Trick,Cheap Trick - Gonna Raise Hell,AMP | 2022-04-07 | Long Rock,
0.8396325198,Long Rock,2022-04-07,12,Halo of Flies,Alice Cooper,Alice Cooper - Halo of Flies,AMP | 2022-04-07 | Long Rock,
0.1113268526,Long Rock,2022-04-07,8,The Confessor,Joe Walsh,Joe Walsh - The Confessor,AMP | 2022-04-07 | Long Rock,
0.7604954904,Long Rock,2022-04-07,11,Do You Feel Lke We Do,Peter Frampton,Peter Frampton - Do You Feel Lke We Do,AMP | 2022-04-07 | Long Rock,
0.2068562901,Long Rock,2022-04-07,3,I Want You,Beatles,Beatles - I Want You,AMP | 2022-04-07 | Long Rock,
0.4734923729,Long Rock,2022-04-07,1,November Rain,Guns N Roses,Guns N Roses - November Rain,AMP | 2022-04-07 | Long Rock,
0.04704970749,Long Rock,2022-04-07,10,Minstrel In The Gallery,Jethro Tull,Jethro Tull - Minstrel In The Gallery,AMP | 2022-04-07 | Long Rock,
0.0320489721,Long Rock,2022-04-07,6,Estranged,Guns N Roses,Guns N Roses - Estranged,AMP | 2022-04-07 | Long Rock,
0.4222845799,Ad Hoc Rock,2022-04-14,11,Man On The Moon,R.E.M.,R.E.M. - Man On The Moon,AMP | 2022-04-14 | Ad Hoc Rock,
0.8953735652,Ad Hoc Rock,2022-04-14,7,Us and Them,Pink Floyd,Pink Floyd - Us and Them,AMP | 2022-04-14 | Ad Hoc Rock,
0.564699502,Ad Hoc Rock,2022-04-14,9,Lonely People,Styx (1..0),Styx (1..0) - Lonely People,AMP | 2022-04-14 | Ad Hoc Rock,
0.07348421057,Ad Hoc Rock,2022-04-14,12,Why Can’t This Be Love?,Van Halen,Van Halen - Why Can’t This Be Love?,AMP | 2022-04-14 | Ad Hoc Rock,
0.05836442292,Ad Hoc Rock,2022-04-14,1,I’m Still Standing,Elton John,Elton John - I’m Still Standing,AMP | 2022-04-14 | Ad Hoc Rock,
0.001934429017,Ad Hoc Rock,2022-04-14,17,It’s Over,Boz Scaggs,Boz Scaggs - It’s Over,AMP | 2022-04-14 | Ad Hoc Rock,
0.488893061,Ad Hoc Rock,2022-04-14,6,In The Company of Wolves,Incubus (1..2),Incubus (1..2) - In The Company of Wolves,AMP | 2022-04-14 | Ad Hoc Rock,
0.8745049364,Ad Hoc Rock,2022-04-14,15,One Way Or Another,Blondie,Blondie - One Way Or Another,AMP | 2022-04-14 | Ad Hoc Rock,
0.1664730821,Ad Hoc Rock,2022-04-14,16,One,U2,U2 - One,AMP | 2022-04-14 | Ad Hoc Rock,
0.9774406895,Ad Hoc Rock,2022-04-14,4,Baba O’Riley,The Who,The Who - Baba O’Riley,AMP | 2022-04-14 | Ad Hoc Rock,
0.0612548551,Ad Hoc Rock,2022-04-14,5,Kashmir,Led Zeppelin,Led Zeppelin - Kashmir,AMP | 2022-04-14 | Ad Hoc Rock,
0.8031307539,Ad Hoc Rock,2022-04-14,8,Every Little Thing She Does Is Magic,The Police,The Police - Every Little Thing She Does Is Magic,AMP | 2022-04-14 | Ad Hoc Rock,
0.5469222555,Ad Hoc Rock,2022-04-14,4,Eyes of a Stranger,Queensryche,Queensryche - Eyes of a Stranger,AMP | 2022-04-14 | Ad Hoc Rock,
0.3129283086,Ad Hoc Rock,2022-04-14,5,Feels Like The First Time,Foreigner,Foreigner - Feels Like The First Time,AMP | 2022-04-14 | Ad Hoc Rock,
0.6971072354,Ad Hoc Rock,2022-04-14,7,On The Border,Eagles,Eagles - On The Border,AMP | 2022-04-14 | Ad Hoc Rock,
0.3721941352,Ad Hoc Rock,2022-04-14,8,Abacab,Genesis (2..1),Genesis (2..1) - Abacab,AMP | 2022-04-14 | Ad Hoc Rock,
0.1507673278,Ad Hoc Rock,2022-04-14,13,Even The Losers,Tom Petty,Tom Petty - Even The Losers,AMP | 2022-04-14 | Ad Hoc Rock,
0.8153424732,Ad Hoc Rock,2022-04-14,6,Smokin,Boston,Boston - Smokin,AMP | 2022-04-14 | Ad Hoc Rock,
0.02801178833,Ad Hoc Rock,2022-04-14,2,Funeral For a Friend,Elton John (2..0),Elton John (2..0) - Funeral For a Friend,AMP | 2022-04-14 | Ad Hoc Rock,
0.8000276161,Ad Hoc Rock,2022-04-14,3,Green Grass and High Tides,The Outlaws,The Outlaws - Green Grass and High Tides,AMP | 2022-04-14 | Ad Hoc Rock,
0.9990507818,Ad Hoc Rock,2022-04-14,1,Foreplay/Long Time,Boston,Boston - Foreplay/Long Time,AMP | 2022-04-14 | Ad Hoc Rock,
0.5786065908,Ad Hoc Rock,2022-04-14,14,I’ve Been Searchin’ So Long,Chicago,Chicago - I’ve Been Searchin’ So Long,AMP | 2022-04-14 | Ad Hoc Rock,
0.4884937726,Ad Hoc Rock,2022-04-14,9,Nobody Told Me,John Lennon,John Lennon - Nobody Told Me,AMP | 2022-04-14 | Ad Hoc Rock,
0.8182530601,Ad Hoc Rock,2022-04-14,10,At The Hundredth Meridian,The Tragically Hip,The Tragically Hip - At The Hundredth Meridian,AMP | 2022-04-14 | Ad Hoc Rock,
0.628299145,Ad Hoc Rock,2022-04-14,2,Couldn’t Get It Right,Climax Blues Band,Climax Blues Band - Couldn’t Get It Right,AMP | 2022-04-14 | Ad Hoc Rock,
0.4208026799,Ad Hoc Rock,2022-04-14,3,Back On The Road Again,REO Speedwagon,REO Speedwagon - Back On The Road Again,AMP | 2022-04-14 | Ad Hoc Rock,
0.08906949615,Ad Hoc Rock,2022-04-18,2,Man On the Silver Mountain,Rainbow,Rainbow - Man On the Silver Mountain,AMP | 2022-04-18 | Ad Hoc Rock,
0.9774353802,Ad Hoc Rock,2022-04-18,1,Heaven And Hell,Black Sabbath,Black Sabbath - Heaven And Hell,AMP | 2022-04-18 | Ad Hoc Rock,
0.3455075118,Ad Hoc Rock,2022-04-18,3,Misty Mountain Hop,Led Zeppelin,Led Zeppelin - Misty Mountain Hop,AMP | 2022-04-18 | Ad Hoc Rock,
