,NAME,PUBLIC STREAM,,,,
,,,,,,
1,EXCLUSIVELY CHART,https://streaming.exclusive.radio/er/chart/icecast.audio,,,,
2,Exclusively 00's,https://streaming.exclusive.radio/er/00s/icecast.audio,,,,
3,Exclusively 10cc,https://streaming.exclusive.radio/er/10cc/icecast.audio,,,,
4,Exclusively 10's,https://streaming.exclusive.radio/er/10s/icecast.audio,,,,
5,Exclusively 2020's,https://streaming.exclusive.radio/er/2020/icecast.audio,,,,
6,Exclusively 20's,https://streaming.exclusive.radio/er/1920/icecast.audio,,,,
7,Exclusively 30's,https://streaming.exclusive.radio/er/1930/icecast.audio,,,,
8,Exclusively 40's,https://streaming.exclusive.radio/er/1940/icecast.audio,,,,
9,Exclusively 50 Cent,https://streaming.exclusive.radio/er/50cent/icecast.audio,,,,
10,Exclusively 50's,https://streaming.exclusive.radio/er/50s/icecast.audio,,,,
11,Exclusively 60's,https://streaming.exclusive.radio/er/60s/icecast.audio,,,,
12,Exclusively 70's,https://streaming.exclusive.radio/er/70s/icecast.audio,,,,
13,Exclusively 80's,https://streaming.exclusive.radio/er/80s/icecast.audio,,,,
14,Exclusively 90's,https://streaming.exclusive.radio/er/90s/icecast.audio,,,,
15,Exclusively ABBA,https://streaming.exclusive.radio/er/abba/icecast.audio,,,,
16,Exclusively AC/DC  ,https://streaming.exclusive.radio/er/acdc/icecast.audio,,,,
17,Exclusively Adam Lambert,https://streaming.exclusive.radio/er/adamlambert/icecast.audio,,,,
18,Exclusively Adele,https://streaming.exclusive.radio/er/adele/icecast.audio,,,,
19,Exclusively Aerosmith,http://streaming.exclusive.radio/er/aerosmith/icecast.audio,,,,
20,Exclusively Afrobeats,https://streaming.exclusive.radio/er/afrobeats/icecast.audio,,,,
21,Exclusively A-Ha,https://streaming.exclusive.radio/er/aha/icecast.audio,,,,
22,Exclusively Al Green,https://streaming.exclusive.radio/er/algreen/icecast.audio,,,,
23,Exclusively Al Jarreau,https://streaming.exclusive.radio/er/aljarreau/icecast.audio,,,,
24,Exclusively Alabama,https://streaming.exclusive.radio/er/alabama/icecast.audio,,,,
25,Exclusively Alanis Morissette,https://streaming.exclusive.radio/er/alanismorissette/icecast.audio,,,,
26,Exclusively Albert Collins,https://streaming.exclusive.radio/er/albertcollins/icecast.audio,,,,
27,Exclusively Alec Benjamin,https://streaming.exclusive.radio/er/alecbenjamin/icecast.audio,,,,
28,Exclusively Alice Cooper,https://streaming.exclusive.radio/er/alicecooper/icecast.audio,,,,
29,Exclusively Alison Moyet,https://streaming.exclusive.radio/er/alisonmoyet/icecast.audio,,,,
30,Exclusively America,https://streaming.exclusive.radio/er/america/icecast.audio,,,,
31,Exclusively Amy Winehouse,https://streaming.exclusive.radio/er/amywinehouse/icecast.audio,,,,
32,Exclusively Andrea Bocelli,https://streaming.exclusive.radio/er/andreabocelli/icecast.audio,,,,
33,Exclusively Andy Williams,https://streaming.exclusive.radio/er/andywilliams/icecast.audio,,,,
34,Exclusively Annie Lennox,https://streaming.exclusive.radio/er/annielennox/icecast.audio,,,,
35,Exclusively Aretha Franklin,https://streaming.exclusive.radio/er/arethafranklin/icecast.audio,,,,
36,Exclusively Ariana Grande,https://streaming.exclusive.radio/er/arianagrande/icecast.audio,,,,
37,Exclusively Avicii,https://streaming.exclusive.radio/er/avicii/icecast.audio,,,,
38,Exclusively Backstreet Boys,https://streaming.exclusive.radio/er/backstreetboys/icecast.audio,,,,
39,Exclusively Bad Bunny ,https://streaming.exclusive.radio/er/badbunny/icecast.audio,,,,
40,Exclusively Barbra Streisand,https://streaming.exclusive.radio/er/streisand/icecast.audio,,,,
41,Exclusively Barry Manilow,https://streaming.exclusive.radio/er/barrymanilow/icecast.audio,,,,
42,Exclusively Barry White,https://streaming.exclusive.radio/er/barrywhite/icecast.audio,,,,
43,Exclusively BB King,https://streaming.exclusive.radio/er/bbking/icecast.audio,,,,
44,Exclusively Beach Boys,https://streaming.exclusive.radio/er/beachboys/icecast.audio,,,,
45,Exclusively Beach Party,https://streaming.exclusive.radio/er/beachparty/icecast.audio,,,,
46,Exclusively Beastie Boys,https://streaming.exclusive.radio/er/beastieboys/icecast.audio,,,,
47,Exclusively Beethoven,https://streaming.exclusive.radio/er/beethoven/icecast.audio,,,,
48,Exclusively Belinda Carlisle,https://streaming.exclusive.radio/er/belindacarlisle/icecast.audio,,,,
49,Exclusively Ben Harper,https://streaming.exclusive.radio/er/benharper/icecast.audio,,,,
50,Exclusively Bette Midler,https://streaming.exclusive.radio/er/bettemidler/icecast.audio,,,,
51,Exclusively Beyonce,https://streaming.exclusive.radio/er/beyonce/icecast.audio,,,,
52,Exclusively Bieber ,https://streaming.exclusive.radio/er/justinbieber/icecast.audio,,,,
53,Exclusively Bill Withers,https://streaming.exclusive.radio/er/billwithers/icecast.audio,,,,
54,Exclusively Billie Eilish,https://streaming.exclusive.radio/er/billyeilish/icecast.audio,,,,
55,Exclusively Billy Idol,https://streaming.exclusive.radio/er/billyidol/icecast.audio,,,,
56,Exclusively Billy Joel ,https://streaming.exclusive.radio/er/billyjoel/icecast.audio,,,,
57,Exclusively Bing Crosby,https://streaming.exclusive.radio/er/bingcrosby/icecast.audio,,,,
58,Exclusively Birdsong,https://streaming.exclusive.radio/er/birdsong/icecast.audio,,,,
59,Exclusively Black Sabbath,https://streaming.exclusive.radio/er/blacksabbath/icecast.audio,,,,
60,Exclusively Blondie,https://streaming.exclusive.radio/er/blondie/icecast.audio,,,,
61,EXCLUSIVELY BLUES,https://streaming.exclusive.radio/er/blues/icecast.audio,,,,
62,Exclusively Blur,https://streaming.exclusive.radio/er/blur/icecast.audio,,,,
63,Exclusively Bo Diddley,https://streaming.exclusive.radio/er/bodiddley/icecast.audio,,,,
64,Exclusively Bob Dylan,https://streaming.exclusive.radio/er/bobdylan/icecast.audio,,,,
65,Exclusively Bob Marley,https://streaming.exclusive.radio/er/bobmarley/icecast.audio,,,,
66,Exclusively Bob Seger,https://streaming.exclusive.radio/er/bobseger/icecast.audio,,,,
67,Exclusively Bollywood,https://streaming.exclusive.radio/er/bollywood/icecast.audio,,,,
68,Exclusively Bon Jovi,https://streaming.exclusive.radio/er/bonjovi/icecast.audio,,,,
69,Exclusively Booker T & The MG's,https://streaming.exclusive.radio/er/bookert/icecast.audio,,,,
70,Exclusively Boston,https://streaming.exclusive.radio/er/boston/icecast.audio,,,,
71,Exclusively Bowls,https://streaming.exclusive.radio/er/bowls/icecast.audio,,,,
72,Exclusively Brahms,https://streaming.exclusive.radio/er/brahms/icecast.audio,,,,
73,Exclusively Brantley Gilbert,https://streaming.exclusive.radio/er/brantleygilbert/icecast.audio,,,,
74,Exclusively Brazil,https://streaming.exclusive.radio/er/brazil/icecast.audio,,,,
75,Exclusively Bread,https://streaming.exclusive.radio/er/bread/icecast.audio,,,,
76,Exclusively Britney,https://streaming.exclusive.radio/er/britney/icecast.audio,,,,
77,Exclusively Bruce Springsteen,https://streaming.exclusive.radio/er/springsteen/icecast.audio,,,,
78,Exclusively Bruno Mars,https://streaming.exclusive.radio/er/brunomars/icecast.audio,,,,
79,Exclusively Bryan Adams,https://streaming.exclusive.radio/er/bryanadams/icecast.audio,,,,
80,Exclusively Bryan Ferry,https://streaming.exclusive.radio/er/bryanferry/icecast.audio,,,,
81,Exclusively Buddy Guy,https://streaming.exclusive.radio/er/buddyguy/icecast.audio,,,,
82,Exclusively Buddy Holly,https://streaming.exclusive.radio/er/buddyholly/icecast.audio,,,,
83,Exclusively Bunny Wailer,https://streaming.exclusive.radio/er/bunnywailer/icecast.audio,,,,
84,Exclusively Calm,https://streaming.exclusive.radio/er/calm/icecast.audio,,,,
85,Exclusively Calvin Harris,https://streaming.exclusive.radio/er/calvinharris/icecast.audio,,,,
86,Exclusvely Camila Cabello,https://streaming.exclusive.radio/er/camilacabello/icecast.audio,,,,
87,Exclusively Cardi B,https://streaming.exclusive.radio/er/cardib/icecast.audio,,,,
88,Exclusively Carly Simon,https://streaming.exclusive.radio/er/carlysimon/icecast.audio,,,,
89,Exclusively Carole King,https://streaming.exclusive.radio/er/caroleking/icecast.audio,,,,
90,Exclusively Carpenters,https://streaming.exclusive.radio/er/carpenters/icecast.audio,,,,
91,Exclusively Carrie Underwood,https://streaming.exclusive.radio/er/carrieunderwood/icecast.audio,,,,
92,Exclusively Cat Stevens,https://streaming.exclusive.radio/er/catstevens/icecast.audio,,,,
93,Exclusively Celeste,https://streaming.exclusive.radio/er/celeste/icecast.audio,,,,
94,Exclusively Celine Dion,https://streaming.exclusive.radio/er/celinedion/icecast.audio,,,,
95,Exclusively Chants,https://streaming.exclusive.radio/er/chants/icecast.audio,,,,
96,Exclusively Charley Pride,https://streaming.exclusive.radio/er/charleypride/icecast.audio,,,,
97,Exclusively Charlie Parker,https://streaming.exclusive.radio/er/charlieparker/icecast.audio,,,,
98,Exclusively Cheap Trick,https://streaming.exclusive.radio/er/cheaptrick/icecast.audio,,,,
99,Exclusively Cher,https://streaming.exclusive.radio/er/cher/icecast.audio,,,,
100,Exclusively Chic,https://streaming.exclusive.radio/er/chic/icecast.audio,,,,
101,Exclusively Chicago,https://streaming.exclusive.radio/er/chicago/icecast.audio,,,,
102,Exclusively Chicks,https://streaming.exclusive.radio/er/dixiechicks/icecast.audio,,,,
103,Exclusively Chopin,https://streaming.exclusive.radio/er/chopin/icecast.audio,,,,
104,Exclusively Chris Rea,https://streaming.exclusive.radio/er/chrisrea/icecast.audio,,,,
105,Exclusively Christmas Carols,https://streaming.exclusive.radio/er/christmascarols/icecast.audio,,,,
106,Exclusively Christmas Pop,https://streaming.exclusive.radio/er/christmaspop/icecast.audio,,,,
107,Exclusively Chuck Berry,https://streaming.exclusive.radio/er/chuckberry/icecast.audio,,,,
108,EXCLUSIVELY CLASSICAL,https://streaming.exclusive.radio/er/classical/icecast.audio,,,,
109,Exclusively Cliff Richard,https://streaming.exclusive.radio/er/cliffrichard/icecast.audio,,,,
110,Exclusively Club,https://streaming.exclusive.radio/er/club/icecast.audio,,,,
111,Exclusively Coldplay   ,https://streaming.exclusive.radio/er/coldplay/icecast.audio,,,,
112,Exclusively Colt Ford,https://streaming.exclusive.radio/er/coltford/icecast.audio,,,,
113,Exclusively Count Basie,https://streaming.exclusive.radio/er/countbasie/icecast.audio,,,,
114,EXCLUSIVELY COUNTRY,https://streaming.exclusive.radio/er/country/icecast.audio,,,,
115,Exclusively Creedence Clearwater Revival.,https://streaming.exclusive.radio/er/creedence/icecast.audio,,,,
116,Exclusively Crooners,https://streaming.exclusive.radio/er/crooners/icecast.audio,,,,
117,Exclusively Crosby Stills Nash & Young,https://streaming.exclusive.radio/er/csny/icecast.audio,,,,
118,Exclusively Crowded House,https://streaming.exclusive.radio/er/crowdedhouse/icecast.audio,,,,
119,Exclusively Cruisin' 50's,https://streaming.exclusive.radio/er/cruisin50s/icecast.audio,,,,
120,Exclusively Cruisin' 60's,https://streaming.exclusive.radio/er/cruisin60s/icecast.audio,,,,
121,Exclusively Curtis Mayfield,https://streaming.exclusive.radio/er/curtismayfield/icecast.audio,,,,
122,Exclusively Daft Punk,https://streaming.exclusive.radio/er/daftpunk/icecast.audio,,,,
123,Exclusively Dallas Smith,https://streaming.exclusive.radio/er/dallassmith/icecast.audio,,,,
124,Exclusively Dance Chill,https://streaming.exclusive.radio/er/chilldance/icecast.audio,,,,
125,Exclusively Dave Brubeck,https://streaming.exclusive.radio/er/davebrubeck/icecast.audio,,,,
126,Exclusively David Bowie,https://streaming.exclusive.radio/er/davidbowie/icecast.audio,,,,
127,Exclusively David Soul,https://streaming.exclusive.radio/er/davidsoul/icecast.audio,,,,
128,Exclusively Dean Martin,https://streaming.exclusive.radio/er/deanmartin/icecast.audio,,,,
129,Exclusively Debussy,https://streaming.exclusive.radio/er/debussy/icecast.audio,,,,
130,Exclusively Deep Purple,https://streaming.exclusive.radio/er/deeppurple/icecast.audio,,,,
131,Exclusively Def Leppard,https://streaming.exclusive.radio/er/defleppard/icecast.audio,,,,
132,Exclusively Depeche Mode,https://streaming.exclusive.radio/er/depechemode/icecast.audio,,,,
133,Exclusively Derek Trucks and Susan Tedeschi,https://streaming.exclusive.radio/er/derekandsusantrucks/icecast.audio,,,,
134,Exclusively Deutsche Musik,https://streaming.exclusive.radio/er/deutschemusik/icecast.audio,,,,
135,Exclusively Diana Krall,https://streaming.exclusive.radio/er/dianakrall/icecast.audio,,,,
136,Exclusively Diana Ross,https://streaming.exclusive.radio/er/dianaross/icecast.audio,,,,
137,Exclusively Dionne Warwick,https://streaming.exclusive.radio/er/dionnewarwick/icecast.audio,,,,
138,Exclusively Dire Straits,https://streaming.exclusive.radio/er/direstraits/icecast.audio,,,,
139,Exclusively Disco,https://streaming.exclusive.radio/er/disco/icecast.audio,,,,
140,Exclusively Divas,https://streaming.exclusive.radio/er/divas/icecast.audio,,,,
141,Exclusively Dizzy Gillespie,https://streaming.exclusive.radio/er/dizzygillespie/icecast.audio,,,,
142,Exclusively Dolly Parton,https://streaming.exclusive.radio/er/dollyparton/icecast.audio,,,,
143,Exclusively Donna Summer,https://streaming.exclusive.radio/er/donnasummer/icecast.audio,,,,
144,Exclusively Doobie Brothers,https://streaming.exclusive.radio/er/doobiebrothers/icecast.audio,,,,
145,Exclusively Dr Dre,https://streaming.exclusive.radio/er/drdre/icecast.audio,,,,
146,Exclusively Dr Hook,https://streaming.exclusive.radio/er/drhook/icecast.audio,,,,
147,Exclusively Drake,https://streaming.exclusive.radio/er/drake/icecast.audio,,,,
148,Exclusively Dua Lipa,https://streaming.exclusive.radio/er/dualipa/icecast.audio,,,,
149,Exclusively Duke Ellington,https://streaming.exclusive.radio/er/dukeellington/icecast.audio,,,,
150,Exclusively Duran Duran,https://streaming.exclusive.radio/er/duranduran/icecast.audio,,,,
151,Exclusively Eagles,https://streaming.exclusive.radio/er/eagles/icecast.audio,,,,
152,"Exclusively Earth, Wind & Fire",https://streaming.exclusive.radio/er/earthwindandfire/icecast.audio,,,,
153,Exclusively Easy,https://streaming.exclusive.radio/er/easy/icecast.audio,,,,
154,Exclusively Ed Sheeran,https://streaming.exclusive.radio/er/edsheeran/icecast.audio,,,,
155,Exclusively Elbow,https://streaming.exclusive.radio/er/elbow/icecast.audio,,,,
156,Exclusively Electric Light Orchestra,https://streaming.exclusive.radio/er/elo/icecast.audio,,,,
157,Exclusively Ella Fitzgerald,https://streaming.exclusive.radio/er/ellafitzgerald/icecast.audio,,,,
158,Exclusively Ellie Goulding,https://streaming.exclusive.radio/er/elliegoulding/icecast.audio,,,,
159,Exclusively Elton John,https://streaming.exclusive.radio/er/eltonjohn/icecast.audio,,,,
160,Exclusively Elvis Costello,https://streaming.exclusive.radio/er/elviscostello/icecast.audio,,,,
161,Exclusively Elvis Presley,https://streaming.exclusive.radio/er/elvispresley/icecast.audio,,,,
162,"Exclusively Emerson, Lake & Palmer",https://streaming.exclusive.radio/er/emersonlakepalmer/icecast.audio,,,,
163,Exclusively Eminem,https://streaming.exclusive.radio/er/eminem/icecast.audio,,,,
164,Exclusively Energy Workout,https://streaming.exclusive.radio/er/energyworkout/icecast.audio,,,,
165,Exclusively Engelbert Humperdinck,https://streaming.exclusive.radio/er/engelberthumperdinck/icecast.audio,,,,
166,Exclusively Enrique Iglesias,https://streaming.exclusive.radio/er/enriqueiglesias/icecast.audio,,,,
167,Exclusively Erasure,https://streaming.exclusive.radio/er/erasure/icecast.audio,,,,
168,Exclusively Eric Clapton,https://streaming.exclusive.radio/er/ericclapton/icecast.audio,,,,
169,Exclusively Etta James,https://streaming.exclusive.radio/er/ettajames/icecast.audio,,,,
170,Exclusively Eurythmics,https://streaming.exclusive.radio/er/eurythmics/icecast.audio,,,,
171,Exclusively Eva Cassidy,https://streaming.exclusive.radio/er/evacassidy/icecast.audio,,,,
172,Exclusively Fats Domino,https://streaming.exclusive.radio/er/fatsdomino/icecast.audio,,,,
173,Exclusively Fats Waller,https://streaming.exclusive.radio/er/fatswaller/icecast.audio,,,,
174,Exclusively Fleetwood Mac,https://streaming.exclusive.radio/er/fleetwoodmac/icecast.audio,,,,
175,Exclusively Florida Georgia Line,https://streaming.exclusive.radio/er/floridageorgialine/icecast.audio,,,,
176,EXCLUSIVELY FOLK,https://streaming.exclusive.radio/er/folk/icecast.audio,,,,
177,Exclusively Foo Fighters,https://streaming.exclusive.radio/er/foofighters/icecast.audio,,,,
178,Exclusively Foreigner,https://streaming.exclusive.radio/er/foreigner/icecast.audio,,,,
179,Exclusively Four Tops,https://streaming.exclusive.radio/er/fourtops/icecast.audio,,,,
180,Exclusively Frank Sinatra,https://streaming.exclusive.radio/er/franksinatra/icecast.audio,,,,
181,Exclusively Frankie Valli & The Four Seasons,https://streaming.exclusive.radio/er/frankievalli/icecast.audio,,,,
182,Exclusively Freya Ridings,https://streaming.exclusive.radio/er/freyaridings/icecast.audio,,,,
183,Exclusively Garth Brooks,https://streaming.exclusive.radio/er/garthbrooks/icecast.audio,,,,
184,Exclusively Genesis,https://streaming.exclusive.radio/er/genesis/icecast.audio,,,,
185,Exclusively George Benson,https://streaming.exclusive.radio/er/georgebenson/icecast.audio,,,,
186,Exclusively George Ezra,https://streaming.exclusive.radio/er/georgeezra/icecast.audio,,,,
187,Exclusively George Harrison,https://streaming.exclusive.radio/er/georgeharrison/icecast.audio,,,,
188,Exclusively George Jones,https://streaming.exclusive.radio/er/georgejones/icecast.audio,,,,
189,Exclusively George Michael,https://streaming.exclusive.radio/er/georgemichael/icecast.audio,,,,
190,Exclusively George Strait,https://streaming.exclusive.radio/er/georgestrait/icecast.audio,,,,
191,Exclusively Gershwin,https://streaming.exclusive.radio/er/gershwin/icecast.audio,,,,
192,Exclusively Glen Campbell,https://streaming.exclusive.radio/er/glencampbell/icecast.audio,,,,
193,Exclusively Glenn Miller,https://streaming.exclusive.radio/er/glennmiller/icecast.audio,,,,
194,Exclusively Gloria Estefan,https://streaming.exclusive.radio/er/gloriaestefan/icecast.audio,,,,
195,Exclusively Gongs,https://streaming.exclusive.radio/er/ocean/icecast.audio,,,,
196,Exclusively Good Afternoon ,https://streaming.exclusive.radio/er/afternoon/icecast.audio,,,,
197,Exclusively Good Evening,https://streaming.exclusive.radio/er/goodevening/icecast.audio,,,,
198,Exclusively Good Morning,https://streaming.exclusive.radio/er/goodmorning/icecast.audio,,,,
199,Exclusively Good Night,https://streaming.exclusive.radio/er/goodnight/icecast.audio,,,,
200,Exclusively Grace VanderWaal,https://streaming.exclusive.radio/er/gracevanderwaal/icecast.audio,,,,
201,Exclusively Gram Parsons,https://streaming.exclusive.radio/er/gramparsons/icecast.audio,,,,
202,Exclusively Grateful Dead,https://streaming.exclusive.radio/er/gratefuldead/icecast.audio,,,,
203,Exclusively Green Day,https://streaming.exclusive.radio/er/greenday/icecast.audio,,,,
204,Exclusively Gregory Porter,https://streaming.exclusive.radio/er/gregoryporter/icecast.audio,,,,
205,Exclusively Gretchen Peters,https://streaming.exclusive.radio/er/gretchenpeters/icecast.audio,,,,
206,Exclusively Guns N Roses,https://streaming.exclusive.radio/er/gunsnroses/icecast.audio,,,,
207,Exclusively Hall & Oates,https://streaming.exclusive.radio/er/hallandoates/icecast.audio,,,,
208,Exclusively Handel,https://streaming.exclusive.radio/er/handel/icecast.audio,,,,
209,Exclusively Hank Williams,https://streaming.exclusive.radio/er/hankwilliams/icecast.audio,,,,
210,Exclusively Happy,https://streaming.exclusive.radio/er/happy/icecast.audio,,,,
211,Exclusively Harry Connick Jr,https://streaming.exclusive.radio/er/harryconnick/icecast.audio,,,,
212,Exclusively Harry Styles,https://streaming.exclusive.radio/er/harrystyles/icecast.audio,,,,
213,Exclusively Herbie Hancock,https://streaming.exclusive.radio/er/herbiehancock/icecast.audio,,,,
214,Exclusively Hollywood & Broadway Musicals,https://streaming.exclusive.radio/er/hollywoodandbroadway/icecast.audio,,,,
215,Exclusively Howlin Wolf,https://streaming.exclusive.radio/er/howlinwolf/icecast.audio,,,,
216,Exclusively Huey Lewis & The News,https://streaming.exclusive.radio/er/hueylewis/icecast.audio,,,,
