,NAME,PUBLIC STREAM
,,
1,BOB Best of Rock,https://streams.radiobob.de/bob-bestofrock/mp3-192
2,BOB Rock Hits,https://streams.radiobob.de/bob-rockhits/mp3-192
3,BOB Hard Rock,https://streams.radiobob.de/bob-hardrock/mp3-192
4,BOB Alternative,https://streams.radiobob.de/bob-alternative/mp3-192
5,BOB Live,https://streams.radiobob.de/bob-live/mp3-192
6,BOB Grunge,https://streams.radiobob.de/bob-grunge/mp3-192
7,BOB Classic Rock,https://streams.radiobob.de/bob-classicrock/mp3-192
8,BOB Punk,https://streams.radiobob.de/bob-punk/mp3-192
9,BOB College Rock,https://streams.radiobob.de/collegerock/mp3-192
10,BOB Gothic,https://streams.radiobob.de/gothic/mp3-192
11,BOB Ska,https://streams.radiobob.de/ska/mp3-192
12,BOB Rolling Stones,https://streams.radiobob.de/rollingstones/mp3-192
13,BOB 80s Rock,https://streams.radiobob.de/bob-80srock/mp3-192
14,BOB 90s Rock,https://streams.radiobob.de/bob-90srock/mp3-192
15,BOB Metal,https://streams.radiobob.de/bob-metal/mp3-192
16,BOB Symphonic Metal,https://streams.radiobob.de/symphmetal/mp3-192
17,BOB Death Metal,https://streams.radiobob.de/deathmetal/mp3-192
