,NAME,PUBLIC STREAM
,,
1,Radio Paradise - Main Mix,https://stream.radioparadise.com/aac-128
2,Radio Paradise - Rock Mix,https://stream.radioparadise.com/rock-128
3,Radio Paradise - Rock Mix (FLAC),https://stream.radioparadise.com/rock-flacm
4,Radio Paradise - Mellow Mix,https://stream.radioparadise.com/mellow-128
5,Distorsion FM,https://radioemisoras.cl/distorsion.mp3
6,Distorsion FM (FLAC),https://radioemisoras.cl/distorsion.flac
7,Radio Calico,https://stream.radio-calico.com/calico.mp3
8,Radio Calico (FLAC),https://stream.radio-calico.com/calico
9,Radio Calico (HLS),https://d3d4yli4hf5bmh.cloudfront.net/hls/live.m3u8
10,Rock Antenne - Grunge,https://stream.rockantenne.de/grunge/stream/mp3
11,Rock Antenne,https://stream.rockantenne.de/rockantenne/stream/mp3
12,BDPST Rock Radio (FLAC),https://s2.audiostream.hu/bdpstrock_FLAC
13,Radio Club 80 Ballads,https://stream.zeno.fm/yn65fsaurfhvv
14,Pure Classix Radio,https://mscp4.live-streams.nl:8142/live.mp3
15,Pure Classix Radio (FLAC),https://mscp4.live-streams.nl:8142/flac.ogg
16,Radio Random,https://ice.radiorandom.org/WBJM
17,Radio Random (FLAC),https://ice.radiorandom.org/WBJM-FLAC
18,RP Live,https://leopard.streemlion.com:6304/stream
19,Bloomberg Radio,https://18063.live.streamtheworld.com:443/WBBRAMAAC48_SC
