,NAME,PUBLIC STREAM,GENRES,CATEGORY
,,,,
1,EXCLUSIVELY CHART,https://streaming.exclusive.radio/er/chart/icecast.audio,,
2,Exclusively 10cc,https://streaming.exclusive.radio/er/10cc/icecast.audio,classic rock|rock|70s,70s|Rock
3,Exclusively 50 Cent,https://streaming.exclusive.radio/er/50cent/icecast.audio,rap|hip-hop|gangsta rap,Hip Hop
4,Exclusively ABBA,https://streaming.exclusive.radio/er/abba/icecast.audio,pop|disco|70s,70s|Disco|Pop
5,Exclusively AC/DC,https://streaming.exclusive.radio/er/acdc/icecast.audio,hard rock|classic rock|rock,Rock
6,Exclusively Adam Lambert,https://streaming.exclusive.radio/er/adamlambert/icecast.audio,pop|rock|glam,Pop|Rock
7,Exclusively Adele,https://streaming.exclusive.radio/er/adele/icecast.audio,soul|female vocalists|british,Soul/R&B
8,Exclusively Aerosmith,https://streaming.exclusive.radio/er/aerosmith/icecast.audio,hard rock|classic rock|rock,Rock
9,Exclusively Afrobeats,https://streaming.exclusive.radio/er/afrobeats/icecast.audio,,
10,Exclusively A-Ha,https://streaming.exclusive.radio/er/aha/icecast.audio,new wave|pop|80s,80s|Alternative|Pop
11,Exclusively Al Green,https://streaming.exclusive.radio/er/algreen/icecast.audio,soul|funk|rhythm and blues,Soul/R&B
12,Exclusively Alabama,https://streaming.exclusive.radio/er/alabama/icecast.audio,country|southern rock|alabama,Country|Rock
13,Exclusively Alanis Morissette,https://streaming.exclusive.radio/er/alanismorissette/icecast.audio,female vocalists|rock|alternative,Alternative|Rock
14,Exclusively Alice Cooper,https://streaming.exclusive.radio/er/alicecooper/icecast.audio,hard rock|classic rock|glam rock,Rock
15,Exclusively Alison Moyet,https://streaming.exclusive.radio/er/alisonmoyet/icecast.audio,pop|female vocalists|80s,80s|Pop
16,Exclusively America,https://streaming.exclusive.radio/er/america/icecast.audio,classic rock|rock|70s,70s|Rock
17,Exclusively Amy Winehouse,https://streaming.exclusive.radio/er/amywinehouse/icecast.audio,soul|jazz|female vocalists,Jazz|Soul/R&B
18,Exclusively Andrea Bocelli,https://streaming.exclusive.radio/er/andreabocelli/icecast.audio,classical|opera|italian,Classical
19,Exclusively Andy Williams,https://streaming.exclusive.radio/er/andywilliams/icecast.audio,oldies|60s|pop,50s & 60s|Pop
20,Exclusively Annie Lennox,https://streaming.exclusive.radio/er/annielennox/icecast.audio,pop|female vocalists|80s,80s|Pop
21,Exclusively Aretha Franklin,https://streaming.exclusive.radio/er/arethafranklin/icecast.audio,soul|jazz|female vocalists,Jazz|Soul/R&B
22,Exclusively Ariana Grande,https://streaming.exclusive.radio/er/arianagrande/icecast.audio,pop|rnb|female vocalists,Pop|Soul/R&B
23,Exclusively Avicii,https://streaming.exclusive.radio/er/avicii/icecast.audio,house|electronic|dance,Electronic
24,Exclusively Backstreet Boys,https://streaming.exclusive.radio/er/backstreetboys/icecast.audio,pop|boybands|90s,90s|Pop
25,Exclusively Bad Bunny,https://streaming.exclusive.radio/er/badbunny/icecast.audio,reggaeton|trap|latin,Hip Hop|Latin
26,Exclusively Barbra Streisand,https://streaming.exclusive.radio/er/streisand/icecast.audio,female vocalists|pop|80s,80s|Pop
27,Exclusively Barry Manilow,https://streaming.exclusive.radio/er/barrymanilow/icecast.audio,pop|easy listening|80s,80s|Pop
28,Exclusively Barry White,https://streaming.exclusive.radio/er/barrywhite/icecast.audio,soul|funk|disco,Disco|Soul/R&B
29,Exclusively BB King,https://streaming.exclusive.radio/er/bbking/icecast.audio,blues|blues rock|jazz,Blues|Jazz|Rock
30,Exclusively Beach Boys,https://streaming.exclusive.radio/er/beachboys/icecast.audio,classic rock|60s|pop,50s & 60s|Pop|Rock
31,Exclusively Beastie Boys,https://streaming.exclusive.radio/er/beastieboys/icecast.audio,hip-hop|rap|alternative,Alternative|Hip Hop
32,Exclusively Belinda Carlisle,https://streaming.exclusive.radio/er/belindacarlisle/icecast.audio,pop|80s|female vocalists,80s|Pop
33,Exclusively Beyonce,https://streaming.exclusive.radio/er/beyonce/icecast.audio,rnb|pop|female vocalists,Pop|Soul/R&B
34,Exclusively Bieber,https://streaming.exclusive.radio/er/justinbieber/icecast.audio,,
35,Exclusively Bill Withers,https://streaming.exclusive.radio/er/billwithers/icecast.audio,soul|funk|70s,70s|Soul/R&B
36,Exclusively Billie Eilish,https://streaming.exclusive.radio/er/billyeilish/icecast.audio,pop|indie pop|electropop,Pop
37,Exclusively Billy Idol,https://streaming.exclusive.radio/er/billyidol/icecast.audio,rock|new wave|80s,80s|Alternative|Rock
38,Exclusively Billy Joel,https://streaming.exclusive.radio/er/billyjoel/icecast.audio,classic rock|singer-songwriter|rock,Folk|Rock
39,Exclusively Bing Crosby,https://streaming.exclusive.radio/er/bingcrosby/icecast.audio,jazz|swing|oldies,Jazz
40,Exclusively Black Sabbath,https://streaming.exclusive.radio/er/blacksabbath/icecast.audio,heavy metal|hard rock|classic rock,Metal|Rock
41,Exclusively Blondie,https://streaming.exclusive.radio/er/blondie/icecast.audio,new wave|80s|rock,80s|Alternative|Rock
42,Exclusively Blur,https://streaming.exclusive.radio/er/blur/icecast.audio,britpop|rock|indie,Alternative|Pop|Rock
43,Exclusively Bo Diddley,https://streaming.exclusive.radio/er/bodiddley/icecast.audio,blues|rhythm and blues|rock and roll,Blues|Soul/R&B
44,Exclusively Bob Dylan,https://streaming.exclusive.radio/er/bobdylan/icecast.audio,folk|singer-songwriter|classic rock,Folk|Rock
45,Exclusively Bob Marley,https://streaming.exclusive.radio/er/bobmarley/icecast.audio,reggae|roots reggae|ska,Reggae
46,Exclusively Bob Seger,https://streaming.exclusive.radio/er/bobseger/icecast.audio,classic rock|rock|singer-songwriter,Folk|Rock
47,Exclusively Bollywood,https://streaming.exclusive.radio/er/bollywood/icecast.audio,soundtrack|bollywood|hindi,
48,Exclusively Bon Jovi,https://streaming.exclusive.radio/er/bonjovi/icecast.audio,rock|hard rock|classic rock,Rock
49,Exclusively Booker T & The MG's,https://streaming.exclusive.radio/er/bookert/icecast.audio,soul|funk|rhythm and blues,Soul/R&B
50,Exclusively Boston,https://streaming.exclusive.radio/er/boston/icecast.audio,classic rock|rock|hard rock,Rock
51,Exclusively Brantley Gilbert,https://streaming.exclusive.radio/er/brantleygilbert/icecast.audio,country|country rock|male vocalists,Country
52,Exclusively Bread,https://streaming.exclusive.radio/er/bread/icecast.audio,soft rock|70s|classic rock,70s|Rock
53,Exclusively Britney,https://streaming.exclusive.radio/er/britney/icecast.audio,pop|dance|female vocalists,Electronic|Pop
54,Exclusively Bruce Springsteen,https://streaming.exclusive.radio/er/springsteen/icecast.audio,rock|classic rock|singer-songwriter,Folk|Rock
55,Exclusively Bruno Mars,https://streaming.exclusive.radio/er/brunomars/icecast.audio,pop|rnb|male vocalists,Pop|Soul/R&B
56,Exclusively Bryan Adams,https://streaming.exclusive.radio/er/bryanadams/icecast.audio,rock|classic rock|80s,80s|Rock
57,Exclusively Bryan Ferry,https://streaming.exclusive.radio/er/bryanferry/icecast.audio,glam rock|new wave|80s,80s|Alternative|Rock
58,Exclusively Buddy Guy,https://streaming.exclusive.radio/er/buddyguy/icecast.audio,blues|chicago blues|guitar,Blues
59,Exclusively Buddy Holly,https://streaming.exclusive.radio/er/buddyholly/icecast.audio,rockabilly|rock and roll|50s,50s & 60s
60,Exclusively Calvin Harris,https://streaming.exclusive.radio/er/calvinharris/icecast.audio,electronic|dance|electro,Electronic
61,Exclusvely Camila Cabello,https://streaming.exclusive.radio/er/camilacabello/icecast.audio,pop|female vocalists|dance,Electronic|Pop
62,Exclusively Cardi B,https://streaming.exclusive.radio/er/cardib/icecast.audio,hip-hop|rap|trap,Hip Hop
63,Exclusively Carly Simon,https://streaming.exclusive.radio/er/carlysimon/icecast.audio,female vocalists|pop|singer-songwriter,Folk|Pop
64,Exclusively Carole King,https://streaming.exclusive.radio/er/caroleking/icecast.audio,singer-songwriter|female vocalists|folk,Folk
65,Exclusively Carpenters,https://streaming.exclusive.radio/er/carpenters/icecast.audio,pop|70s|female vocalists,70s|Pop
66,Exclusively Cat Stevens,https://streaming.exclusive.radio/er/catstevens/icecast.audio,folk|singer-songwriter|classic rock,Folk|Rock
67,Exclusively Celine Dion,https://streaming.exclusive.radio/er/celinedion/icecast.audio,pop|female vocalists|canadian,Pop
68,Exclusively Charley Pride,https://streaming.exclusive.radio/er/charleypride/icecast.audio,country|classic country|charley pride,Country
69,Exclusively Charlie Parker,https://streaming.exclusive.radio/er/charlieparker/icecast.audio,jazz|bebop|saxophone,Jazz
70,Exclusively Cher,https://streaming.exclusive.radio/er/cher/icecast.audio,pop|female vocalists|80s,80s|Pop
71,Exclusively Chic,https://streaming.exclusive.radio/er/chic/icecast.audio,disco|funk|soul,Disco|Soul/R&B
72,Exclusively Chicago,https://streaming.exclusive.radio/er/chicago/icecast.audio,classic rock|rock|70s,70s|Rock
73,Exclusively Chris Rea,https://streaming.exclusive.radio/er/chrisrea/icecast.audio,blues|rock|classic rock,Blues|Rock
74,Exclusively Christmas Carols,https://streaming.exclusive.radio/er/christmascarols/icecast.audio,christmas|holiday|love at first listen,
75,Exclusively Christmas Pop,https://streaming.exclusive.radio/er/christmaspop/icecast.audio,,
76,Exclusively Chuck Berry,https://streaming.exclusive.radio/er/chuckberry/icecast.audio,rock and roll|classic rock|blues,Blues|Rock
77,Exclusively Cliff Richard,https://streaming.exclusive.radio/er/cliffrichard/icecast.audio,pop|oldies|60s,50s & 60s|Pop
78,Exclusively Coldplay,https://streaming.exclusive.radio/er/coldplay/icecast.audio,rock|alternative|britpop,Alternative|Pop|Rock
79,Exclusively Creedence Clearwater Revival.,https://streaming.exclusive.radio/er/creedence/icecast.audio,classic rock|rock|southern rock,Rock
80,Exclusively Crosby Stills Nash & Young,https://streaming.exclusive.radio/er/csny/icecast.audio,classic rock|folk rock|folk,Folk|Rock
81,Exclusively Crowded House,https://streaming.exclusive.radio/er/crowdedhouse/icecast.audio,rock|pop|80s,80s|Pop|Rock
82,Exclusively Curtis Mayfield,https://streaming.exclusive.radio/er/curtismayfield/icecast.audio,soul|funk|70s,70s|Soul/R&B
83,Exclusively Daft Punk,https://streaming.exclusive.radio/er/daftpunk/icecast.audio,electronic|house|dance,Electronic
84,Exclusively Dave Brubeck,https://streaming.exclusive.radio/er/davebrubeck/icecast.audio,jazz|piano|cool jazz,Classical|Jazz
85,Exclusively David Bowie,https://streaming.exclusive.radio/er/davidbowie/icecast.audio,glam rock|rock|classic rock,Rock
86,Exclusively Dean Martin,https://streaming.exclusive.radio/er/deanmartin/icecast.audio,jazz|swing|oldies,Jazz
87,Exclusively Deep Purple,https://streaming.exclusive.radio/er/deeppurple/icecast.audio,hard rock|classic rock|rock,Rock
88,Exclusively Def Leppard,https://streaming.exclusive.radio/er/defleppard/icecast.audio,hard rock|classic rock|rock,Rock
89,Exclusively Depeche Mode,https://streaming.exclusive.radio/er/depechemode/icecast.audio,electronic|new wave|synthpop,Alternative|Electronic|Pop
90,Exclusively Diana Krall,https://streaming.exclusive.radio/er/dianakrall/icecast.audio,jazz|female vocalists|vocal jazz,Jazz
91,Exclusively Diana Ross,https://streaming.exclusive.radio/er/dianaross/icecast.audio,soul|disco|pop,Disco|Pop|Soul/R&B
92,Exclusively Dionne Warwick,https://streaming.exclusive.radio/er/dionnewarwick/icecast.audio,soul|female vocalists|pop,Pop|Soul/R&B
93,Exclusively Dire Straits,https://streaming.exclusive.radio/er/direstraits/icecast.audio,classic rock|rock|80s,80s|Rock
94,Exclusively Disco,https://streaming.exclusive.radio/er/disco/icecast.audio,finnish|pop|electropop,Pop
95,Exclusively Dolly Parton,https://streaming.exclusive.radio/er/dollyparton/icecast.audio,country|female vocalists|singer-songwriter,Country|Folk
96,Exclusively Donna Summer,https://streaming.exclusive.radio/er/donnasummer/icecast.audio,disco|pop|70s,70s|Disco|Pop
97,Exclusively Doobie Brothers,https://streaming.exclusive.radio/er/doobiebrothers/icecast.audio,classic rock|rock|70s,70s|Rock
98,Exclusively Dr Dre,https://streaming.exclusive.radio/er/drdre/icecast.audio,hip-hop|rap|gangsta rap,Hip Hop
99,Exclusively Dr Hook,https://streaming.exclusive.radio/er/drhook/icecast.audio,classic rock|70s|soft rock,70s|Rock
100,Exclusively Drake,https://streaming.exclusive.radio/er/drake/icecast.audio,hip-hop|rap|rnb,Hip Hop|Soul/R&B
101,Exclusively Dua Lipa,https://streaming.exclusive.radio/er/dualipa/icecast.audio,pop|synthpop|electropop,Pop
102,Exclusively Duke Ellington,https://streaming.exclusive.radio/er/dukeellington/icecast.audio,jazz|swing|big band,Jazz
103,Exclusively Duran Duran,https://streaming.exclusive.radio/er/duranduran/icecast.audio,new wave|80s|pop,80s|Alternative|Pop
104,Exclusively Eagles,https://streaming.exclusive.radio/er/eagles/icecast.audio,classic rock|rock|70s,70s|Rock
105,Exclusively Ed Sheeran,https://streaming.exclusive.radio/er/edsheeran/icecast.audio,acoustic|british|singer-songwriter,Folk
106,Exclusively Electric Light Orchestra,https://streaming.exclusive.radio/er/elo/icecast.audio,classic rock|progressive rock|rock,Rock
107,Exclusively Ella Fitzgerald,https://streaming.exclusive.radio/er/ellafitzgerald/icecast.audio,jazz|female vocalists|blues,Blues|Jazz
108,Exclusively Elton John,https://streaming.exclusive.radio/er/eltonjohn/icecast.audio,pop|classic rock|singer-songwriter,Folk|Pop|Rock
109,Exclusively Elvis Presley,https://streaming.exclusive.radio/er/elvispresley/icecast.audio,rock n roll|classic rock|rock,Rock
110,Exclusively Eminem,https://streaming.exclusive.radio/er/eminem/icecast.audio,rap|hip-hop|hip hop,Hip Hop
111,Exclusively Engelbert Humperdinck,https://streaming.exclusive.radio/er/engelberthumperdinck/icecast.audio,oldies|60s|pop,50s & 60s|Pop
112,Exclusively Enrique Iglesias,https://streaming.exclusive.radio/er/enriqueiglesias/icecast.audio,pop|latin|spanish,Latin|Pop
113,Exclusively Erasure,https://streaming.exclusive.radio/er/erasure/icecast.audio,synthpop|80s|new wave,80s|Alternative|Pop
114,Exclusively Eric Clapton,https://streaming.exclusive.radio/er/ericclapton/icecast.audio,blues|classic rock|blues rock,Blues|Rock
115,Exclusively Etta James,https://streaming.exclusive.radio/er/ettajames/icecast.audio,blues|soul|jazz,Blues|Jazz|Soul/R&B
116,Exclusively Eurythmics,https://streaming.exclusive.radio/er/eurythmics/icecast.audio,new wave|80s|pop,80s|Alternative|Pop
117,Exclusively Eva Cassidy,https://streaming.exclusive.radio/er/evacassidy/icecast.audio,jazz|female vocalists|blues,Blues|Jazz
118,Exclusively Fats Domino,https://streaming.exclusive.radio/er/fatsdomino/icecast.audio,blues|rhythm and blues|rock n roll,Blues|Soul/R&B
119,Exclusively Fleetwood Mac,https://streaming.exclusive.radio/er/fleetwoodmac/icecast.audio,classic rock|rock|70s,70s|Rock
120,Exclusively Florida Georgia Line,https://streaming.exclusive.radio/er/floridageorgialine/icecast.audio,country|country rock|male vocalists,Country
121,Exclusively Foo Fighters,https://streaming.exclusive.radio/er/foofighters/icecast.audio,rock|alternative rock|grunge,Alternative|Rock
122,Exclusively Foreigner,https://streaming.exclusive.radio/er/foreigner/icecast.audio,classic rock|rock|hard rock,Rock
123,Exclusively Four Tops,https://streaming.exclusive.radio/er/fourtops/icecast.audio,soul|motown|60s,50s & 60s|Soul/R&B
124,Exclusively Frank Sinatra,https://streaming.exclusive.radio/er/franksinatra/icecast.audio,jazz|swing|oldies,Jazz
125,Exclusively Garth Brooks,https://streaming.exclusive.radio/er/garthbrooks/icecast.audio,country|garth brooks|90s,90s|Country
126,Exclusively Genesis,https://streaming.exclusive.radio/er/genesis/icecast.audio,progressive rock|classic rock|rock,Rock
127,Exclusively George Benson,https://streaming.exclusive.radio/er/georgebenson/icecast.audio,jazz|smooth jazz|soul,Jazz|Soul/R&B
128,Exclusively George Ezra,https://streaming.exclusive.radio/er/georgeezra/icecast.audio,indie|folk|singer-songwriter,Alternative|Folk
129,Exclusively George Harrison,https://streaming.exclusive.radio/er/georgeharrison/icecast.audio,classic rock|rock|singer-songwriter,Folk|Rock
130,Exclusively George Jones,https://streaming.exclusive.radio/er/georgejones/icecast.audio,country|classic country|singer-songwriter,Country|Folk
131,Exclusively George Michael,https://streaming.exclusive.radio/er/georgemichael/icecast.audio,pop|80s|british,80s|Pop
132,Exclusively George Strait,https://streaming.exclusive.radio/er/georgestrait/icecast.audio,country|george strait|classic country,Country
133,Exclusively Glen Campbell,https://streaming.exclusive.radio/er/glencampbell/icecast.audio,country|singer-songwriter|folk,Country|Folk
134,Exclusively Glenn Miller,https://streaming.exclusive.radio/er/glennmiller/icecast.audio,jazz|swing|big band,Jazz
135,Exclusively Gloria Estefan,https://streaming.exclusive.radio/er/gloriaestefan/icecast.audio,latin|pop|female vocalists,Latin|Pop
136,Exclusively Grateful Dead,https://streaming.exclusive.radio/er/gratefuldead/icecast.audio,psychedelic rock|classic rock|psychedelic,Rock
137,Exclusively Green Day,https://streaming.exclusive.radio/er/greenday/icecast.audio,punk rock|rock|punk,Rock
138,Exclusively Gregory Porter,https://streaming.exclusive.radio/er/gregoryporter/icecast.audio,jazz|soul|vocal jazz,Jazz|Soul/R&B
139,Exclusively Guns N Roses,https://streaming.exclusive.radio/er/gunsnroses/icecast.audio,hard rock|rock|classic rock,Rock
140,Exclusively Hank Williams,https://streaming.exclusive.radio/er/hankwilliams/icecast.audio,country|classic country|folk,Country|Folk
141,Exclusively Harry Styles,https://streaming.exclusive.radio/er/harrystyles/icecast.audio,pop|rock|pop rock,Pop|Rock
142,Exclusively Herbie Hancock,https://streaming.exclusive.radio/er/herbiehancock/icecast.audio,jazz|funk|fusion,Jazz|Soul/R&B
143,Exclusively Hollywood & Broadway Musicals,https://streaming.exclusive.radio/er/hollywoodandbroadway/icecast.audio,,
144,Exclusively Howlin Wolf,https://streaming.exclusive.radio/er/howlinwolf/icecast.audio,blues|chicago blues|delta blues,Blues
145,Exclusively Huey Lewis & The News,https://streaming.exclusive.radio/er/hueylewis/icecast.audio,80s|rock|classic rock,80s|Rock
146,Exclusively Imagine Dragons,https://streaming.exclusive.radio/er/imaginedragons/icecast.audio,indie|indie rock|alternative,Alternative|Rock
147,Exclusively INXS,https://streaming.exclusive.radio/er/INXS/icecast.audio,rock|new wave|80s,80s|Alternative|Rock
148,Exclusively Iron Maiden,https://streaming.exclusive.radio/er/ironmaiden/icecast.audio,heavy metal|metal|nwobhm,Metal
149,Exclusively Italy,https://streaming.exclusive.radio/er/italy/icecast.audio,,
150,Exclusively J POP,https://streaming.exclusive.radio/er/jpop/icecast.audio,,
151,Exclusively Jack Johnson,https://streaming.exclusive.radio/er/jackjohnson/icecast.audio,acoustic|singer-songwriter|chill,Folk
152,Exclusively Jackson Browne,https://streaming.exclusive.radio/er/jacksonbrowne/icecast.audio,singer-songwriter|classic rock|folk,Folk|Rock
153,Exclusively Jacques Loussier,https://streaming.exclusive.radio/er/jaquesloussier/icecast.audio,jazz|classical|piano,Classical|Jazz
154,Exclusively James Blunt,https://streaming.exclusive.radio/er/jamesblunt/icecast.audio,pop|singer-songwriter|acoustic,Folk|Pop
155,Exclusively James Brown,https://streaming.exclusive.radio/er/jamesbrown/icecast.audio,funk|soul|rhythm and blues,Soul/R&B
156,Exclusively James Taylor,https://streaming.exclusive.radio/er/jamestaylor/icecast.audio,folk|singer-songwriter|acoustic,Folk
157,Exclusively Jamie Cullum,https://streaming.exclusive.radio/er/jamiecullum/icecast.audio,jazz|piano|british,Classical|Jazz
158,Exclusively Janet Jackson,https://streaming.exclusive.radio/er/janetjackson/icecast.audio,pop|rnb|female vocalists,Pop|Soul/R&B
159,Exclusively Jay-Z,https://streaming.exclusive.radio/er/jay-z/icecast.audio,hip-hop|rap|hip hop,Hip Hop
160,Exclusively Jefferson Airplane,https://streaming.exclusive.radio/er/jeffersonairplane/icecast.audio,psychedelic rock|classic rock|60s,50s & 60s|Rock
161,Exclusively Jennifer Lopez,https://streaming.exclusive.radio/er/jenniferlopez/icecast.audio,pop|rnb|latin,Latin|Pop|Soul/R&B
